date,S&P500,BTC
11/28/14,0.02763,0.11742
12/31/14,-0.00247,-0.15303
1/30/15,-0.02943,-0.32083
2/27/15,0.05698,0.16922
3/31/15,-0.01499,-0.03948
4/30/15,0.00910,-0.03308
5/29/15,0.01252,-0.02522
6/30/15,-0.01934,0.14285
7/31/15,0.02130,0.08202
8/31/15,-0.06009,-0.19179
9/30/15,-0.02455,0.02610
10/30/15,0.08345,0.33087
11/30/15,0.00337,0.20102
12/31/15,-0.01525,0.14112
1/29/16,-0.04910,-0.14353
2/29/16,-0.00174,0.18692
3/31/16,0.06734,-0.04791
4/29/16,0.00375,0.07580
5/31/16,0.01849,0.18529
6/30/16,0.00268,0.26713
7/29/16,0.03657,-0.07226
8/31/16,0.00125,-0.07877
9/30/16,0.00045,0.05954
10/31/16,-0.01796,0.14963
11/30/16,0.03579,0.06380
12/30/16,0.01920,0.29242
1/31/17,0.01938,0.00691
2/28/17,0.03946,0.21596
3/31/17,0.00166,-0.09168
4/28/17,0.01059,0.25761
5/31/17,0.01455,0.69629
6/30/17,0.00580,0.08504
7/31/17,0.02070,0.15902
8/31/17,0.00224,0.63577
9/29/17,0.02005,-0.07754
10/31/17,0.02413,0.49086
11/30/17,0.03139,0.58209
12/29/17,0.01115,0.38333
1/31/18,0.05806,-0.27799
2/28/18,-0.03766,0.01730
3/29/18,-0.02546,-0.32933
4/30/18,0.00377,0.32509
5/31/18,0.02380,-0.18899
6/29/18,0.00684,-0.14547
7/31/18,0.03714,0.21493
8/31/18,0.03294,-0.09548
9/28/18,0.00514,-0.05855
10/31/18,-0.06841,-0.04648
11/30/18,0.01975,-0.36412
12/31/18,-0.09065,-0.06835
1/31/19,0.08141,-0.07612
2/28/19,0.03171,0.11481
3/29/19,0.01953,0.06502
4/30/19,0.04063,0.30334
5/31/19,-0.06319,0.60249
6/28/19,0.06956,0.26155
7/31/19,0.01460,-0.06763
8/30/19,-0.01609,-0.04511
9/30/19,0.01879,-0.13881
10/31/19,0.02162,0.10920
11/29/19,0.03621,-0.17718
12/31/19,0.02979,-0.04968
1/31/20,0.00011,0.29984
2/28/20,-0.08187,-0.08032
3/31/20,-0.12200,-0.25128
4/30/20,0.12889,0.34478
5/29/20,0.04782,0.09268
6/30/20,0.02035,-0.03415
7/31/20,0.05691,0.23916
8/31/20,0.07207,0.03156
9/30/20,-0.03815,-0.07674
10/30/20,-0.02641,0.27785
11/30/20,0.10940,0.42412
12/31/20,0.04157,0.47773
1/29/21,-0.01005,0.14181
2/26/21,0.02610,0.36309
3/31/21,0.04331,0.30531
4/30/21,0.05390,-0.01984
5/28/21,0.00621,-0.35355
6/30/21,0.02368,-0.06139
7/30/21,0.02431,0.18793
8/31/21,0.03060,0.13310
9/30/21,-0.04608,-0.07157
10/29/21,0.07051,0.40027
11/30/21,-0.00726,-0.07035
12/31/21,0.04349,-0.18768
1/31/22,-0.05224,-0.16895
2/28/22,-0.02929,0.12239
3/31/22,0.03793,0.05430
4/29/22,-0.08758,-0.17181
5/31/22,0.00037,-0.15704
6/30/22,-0.08168,-0.37769
7/29/22,0.09377,0.17954
8/31/22,-0.04031,-0.14086
9/30/22,-0.09150,-0.03082
10/31/22,0.08025,0.05475
11/30/22,0.05417,-0.16234
12/30/22,-0.05878,-0.03617